"","JWTR","JWAP","AGEP","COW","OCCP","SEX","MAR","HICOV","SCHL","PINCP","ADJINC","PUMA"
"20512",12,119,55,1,8800,2,1,1,16,33600,1007588,11103
"20610",NA,NA,77,2,3245,2,3,1,24,4400,1007588,8303
"20704",9,155,28,4,2200,1,5,1,22,25000,1007588,8303
"20720",NA,NA,81,NA,NA,2,2,1,19,19200,1007588,11106
"20721",NA,NA,54,NA,NA,2,3,1,15,0,1007588,11106
"20722",NA,NA,80,NA,NA,1,3,1,16,19000,1007588,11106
"21105",9,197,20,1,4110,2,5,1,18,14000,1007588,8303
"21108",1,89,57,5,5000,2,1,1,21,79100,1007588,11106
"21109",1,92,57,5,5000,1,1,1,21,179450,1007588,11106
"21210",9,105,32,2,430,2,1,1,21,30000,1007588,8303
"21211",9,95,33,1,1410,1,1,1,22,106000,1007588,8303
"21292",NA,NA,40,3,2310,2,1,1,22,79000,1007588,11103
"21293",NA,NA,38,3,2310,1,1,1,23,78000,1007588,11103
"21294",NA,NA,12,NA,NA,1,5,1,10,NA,1007588,11103
"21295",NA,NA,10,NA,NA,2,5,1,8,NA,1007588,11103
"21296",NA,NA,7,NA,NA,2,5,1,5,NA,1007588,11103
"21297",NA,NA,3,NA,NA,1,5,1,1,NA,1007588,11103
"21588",1,91,24,1,3645,2,1,1,19,18000,1007588,11106
"21589",1,56,24,1,9610,1,1,1,18,38000,1007588,11106
"21590",NA,NA,7,NA,NA,1,5,1,5,NA,1007588,11106
"21591",NA,NA,3,NA,NA,2,5,1,1,NA,1007588,11106
"21600",NA,NA,73,NA,NA,1,5,1,16,0,1007588,11106
"21800",11,NA,52,3,4600,2,3,2,16,33000,1007588,8303
"21801",1,199,52,4,1050,1,5,1,21,170000,1007588,8303
"21817",NA,NA,59,NA,NA,1,5,1,1,1200,1007588,11103
"21909",NA,NA,72,NA,NA,2,1,1,6,8700,1007588,11103
"21910",NA,NA,76,NA,NA,1,1,1,4,12000,1007588,11103
"21920",1,94,31,6,220,1,5,1,21,25000,1007588,11106
"22471",NA,NA,73,1,1740,1,1,1,21,23000,1007588,11106
"22472",NA,NA,70,NA,NA,2,1,1,19,11200,1007588,11106
"22641",NA,NA,43,3,2310,2,3,1,23,80100,1007588,11106
"22642",NA,NA,11,NA,NA,1,5,1,8,NA,1007588,11106
"22643",NA,NA,8,NA,NA,2,5,1,5,NA,1007588,11106
"22829",1,91,28,1,5240,1,5,1,21,66000,1007588,8303
"22846",1,99,56,1,5700,2,1,1,18,31200,1007588,8303
"22847",1,91,57,1,5240,1,1,1,21,70000,1007588,8303
"22956",1,90,41,7,3060,2,1,1,23,250000,1007588,11104
"22957",1,97,48,7,4610,1,1,1,24,250000,1007588,11104
"22958",NA,NA,11,NA,NA,1,5,1,9,NA,1007588,11104
"22959",NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11104
"23139",1,74,21,5,9820,1,5,1,18,16000,1007588,11103
"23161",NA,NA,54,NA,NA,2,2,1,23,308000,1007588,11106
"23251",NA,NA,78,NA,NA,2,3,1,16,43500,1007588,11106
"23252",NA,NA,69,6,725,2,1,1,21,15700,1007588,11106
"23253",NA,NA,72,7,1300,1,1,1,21,74400,1007588,11106
"23328",1,90,46,1,1010,1,1,1,21,426000,1007588,8303
"23329",NA,NA,62,NA,NA,2,1,1,16,1300,1007588,8303
"23363",1,100,41,1,1760,2,1,1,22,123500,1007588,11104
"23364",1,87,42,1,1760,1,1,1,24,108000,1007588,11104
"23365",NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11104
"23366",NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11104
"23437",1,55,65,1,4250,1,1,1,8,27500,1007588,8303
"23438",10,104,63,1,4230,2,1,1,6,27000,1007588,8303
"23439",NA,NA,26,1,5620,2,5,1,16,4000,1007588,8303
"23440",NA,NA,4,NA,NA,1,5,1,1,NA,1007588,8303
"23612",1,99,61,1,8740,2,1,1,2,44000,1007588,11103
"23613",NA,NA,60,1,9620,1,1,1,1,38000,1007588,11103
"23614",NA,NA,84,NA,NA,2,2,1,1,0,1007588,11103
"23790",11,NA,44,4,2840,2,5,1,22,41400,1007588,8303
"24038",NA,NA,88,NA,NA,1,1,1,21,55100,1007588,8303
"24039",11,NA,79,1,2810,2,1,1,19,59100,1007588,8303
"24184",NA,NA,43,1,5700,2,3,1,19,31800,1007588,11104
"24185",1,155,23,1,4030,2,5,1,18,16700,1007588,11104
"24186",NA,NA,17,NA,NA,1,5,1,14,0,1007588,11104
"24187",NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11104
"24188",1,92,46,1,1007,1,3,1,21,70000,1007588,11104
"24241",1,201,35,2,420,2,5,1,21,48000,1007588,11104
